AverageTemperature,Country
13.0435,Afghanistan
23.88083333333333,Africa
13.812833333333332,Albania
22.781833333333335,Algeria
26.520083333333332,American Samoa
11.812,Andorra
21.571833333333334,Angola
26.266416666666668,Anguilla
,Antarctica
26.052333333333333,Antigua And Barbuda
14.795083333333332,Argentina
8.213000000000001,Armenia
27.488500000000002,Aruba
7.169833333333333,Asia
21.322916666666668,Australia
7.03575,Austria
10.891333333333334,Azerbaijan
25.00016666666667,Bahamas
25.438000000000002,Bahrain
25.540583333333334,Baker Island
25.020333333333337,Bangladesh
26.181250000000002,Barbados
6.231916666666667,Belarus
9.829166666666666,Belgium
24.783,Belize
27.16175,Benin
11.966416666666667,Bhutan
20.845166666666668,Bolivia
26.759333333333334,"Bonaire, Saint Eustatius And Saba"
11.704,Bosnia And Herzegovina
22.124166666666667,Botswana
24.639,Brazil
25.997333333333334,British Virgin Islands
11.46475,Bulgaria
27.77175,Burkina Faso
23.812083333333334,Burma
20.043,Burundi
26.78925,Cambodia
24.43275,Cameroon
-5.952916666666667,Canada
24.341333333333335,Cape Verde
26.473249999999997,Cayman Islands
25.25191666666667,Central African Republic
26.593083333333336,Chad
9.292,Chile
6.641166666666667,China
25.824833333333334,Christmas Island
24.425833333333333,Colombia
25.62566666666667,Comoros
24.69741666666667,Congo
23.757583333333333,Congo (Democratic Republic Of The)
25.368583333333333,Costa Rica
12.430083333333334,Croatia
25.144000000000002,Cuba
26.920333333333335,Curaçao
18.796333333333333,Cyprus
8.297666666666666,Czech Republic
25.881249999999998,Côte D'Ivoire
-17.593166666666665,Denmark
8.335166666666668,Denmark (Europe)
28.35591666666667,Djibouti
25.798000000000002,Dominica
25.238333333333333,Dominican Republic
21.334416666666666,Ecuador
22.681083333333333,Egypt
24.643,El Salvador
25.07575,Equatorial Guinea
26.665833333333335,Eritrea
5.236,Estonia
22.658,Ethiopia
8.4875,Europe
5.699750000000001,Falkland Islands (Islas Malvinas)
7.0065,Faroe Islands
27.028916666666664,Federated States Of Micronesia
25.294083333333333,Fiji
2.2062500000000003,Finland
13.23325,France
10.921833333333334,France (Europe)
25.78075,French Guiana
25.91033333333333,French Polynesia
3.963636363636364,French Southern And Antarctic Lands
24.434250000000002,Gabon
27.41825,Gambia
19.296583333333334,Gaza Strip
7.9575,Georgia
8.653416666666667,Germany
26.692000000000004,Ghana
15.639000000000001,Greece
-18.12675,Greenland
26.46075,Grenada
25.948166666666665,Guadeloupe
26.87275,Guam
22.901749999999996,Guatemala
11.209333333333333,Guernsey
25.32558333333333,Guinea
26.633583333333334,Guinea Bissau
26.023750000000003,Guyana
25.9605,Haiti
1.5833636363636365,Heard Island And Mcdonald Islands
24.371166666666667,Honduras
23.04941666666667,Hong Kong
10.680166666666667,Hungary
1.8535000000000004,Iceland
23.659333333333336,India
25.65425,Indonesia
16.908833333333334,Iran
21.31175,Iraq
9.461833333333333,Ireland
9.429916666666665,Isle Of Man
19.70975,Israel
13.712583333333335,Italy
25.723,Jamaica
12.589500000000001,Japan
11.209333333333333,Jersey
19.401166666666665,Jordan
4.267416666666666,Kazakhstan
23.94541666666667,Kenya
26.67616666666667,Kingman Reef
26.316166666666664,Kiribati
24.617833333333333,Kuwait
2.6250000000000004,Kyrgyzstan
23.7715,Laos
5.77025,Latvia
17.695249999999998,Lebanon
14.00125,Lesotho
25.31916666666667,Liberia
21.881249999999998,Libya
5.4355,Liechtenstein
6.466666666666666,Lithuania
9.560083333333333,Luxembourg
22.8175,Macau
11.551083333333333,Macedonia
22.50666666666667,Madagascar
21.011083333333335,Malawi
25.91025,Malaysia
27.8955,Mali
19.213333333333335,Malta
25.798000000000002,Martinique
27.309749999999998,Mauritania
23.366416666666666,Mauritius
26.26275,Mayotte
21.25675,Mexico
9.625083333333334,Moldova
9.814,Monaco
-0.8249166666666666,Mongolia
11.558666666666667,Montenegro
25.984583333333333,Montserrat
17.952916666666667,Morocco
23.407416666666666,Mozambique
20.434,Namibia
14.65125,Nepal
9.853333333333333,Netherlands
9.475666666666667,Netherlands (Europe)
23.262583333333335,New Caledonia
10.618,New Zealand
25.688000000000002,Nicaragua
26.735333333333333,Niger
26.672,Nigeria
25.27725,Niue
1.870416666666667,North America
7.225499999999999,North Korea
26.87275,Northern Mariana Islands
0.9837500000000001,Norway
21.203500000000002,Oceania
26.303833333333333,Oman
19.694416666666665,Pakistan
27.049916666666665,Palau
23.316000000000003,Palestina
26.699166666666667,Palmyra Atoll
25.975333333333335,Panama
24.59358333333333,Papua New Guinea
23.434,Paraguay
19.584,Peru
26.53216666666667,Philippines
8.127083333333333,Poland
15.066083333333333,Portugal
25.108333333333334,Puerto Rico
26.293000000000003,Qatar
23.06941666666667,Reunion
9.759,Romania
-5.6089166666666666,Russia
19.259833333333333,Rwanda
26.266416666666668,Saint Barthélemy
25.4755,Saint Kitts And Nevis
26.327333333333332,Saint Lucia
26.266416666666668,Saint Martin
4.293333333333334,Saint Pierre And Miquelon
26.458083333333335,Saint Vincent And The Grenadines
26.274583333333336,Samoa
14.924333333333335,San Marino
25.919833333333333,Sao Tome And Principe
25.359166666666667,Saudi Arabia
27.817083333333333,Senegal
11.216416666666667,Serbia
26.50916666666667,Seychelles
25.940583333333336,Sierra Leone
26.560166666666664,Singapore
26.266416666666668,Sint Maarten
8.382249999999999,Slovakia
10.637916666666667,Slovenia
26.655,Solomon Islands
26.569916666666668,Somalia
17.451166666666666,South Africa
21.734916666666667,South America
0.6483333333333333,South Georgia And The South Sandwich Isla
12.339666666666666,South Korea
14.23925,Spain
26.974166666666665,Sri Lanka
26.820166666666665,Sudan
26.283833333333334,Suriname
-5.688083333333334,Svalbard And Jan Mayen
19.02725,Swaziland
3.0690000000000004,Sweden
7.730916666666666,Switzerland
17.769583333333333,Syria
22.03775,Taiwan
3.2042500000000005,Tajikistan
22.073666666666668,Tanzania
26.086916666666667,Thailand
25.426666666666666,Timor Leste
26.941083333333335,Togo
23.478416666666664,Tonga
25.967916666666667,Trinidad And Tobago
20.121750000000002,Tunisia
11.466666666666667,Turkey
13.65375,Turkmenistan
26.359750000000002,Turks And Caicas Islands
22.967916666666667,Uganda
8.020666666666667,Ukraine
27.1305,United Arab Emirates
8.619166666666667,United Kingdom
8.811416666666666,United Kingdom (Europe)
8.656416666666667,United States
17.41325,Uruguay
11.026166666666667,Uzbekistan
24.793499999999998,Venezuela
23.944833333333335,Vietnam
25.997333333333334,Virgin Islands
22.47583333333333,Western Sahara
25.81566666666667,Yemen
20.847666666666665,Zambia
21.258416666666665,Zimbabwe
5.957916666666666,Åland
